wav_filename,wav_filesize,transcript
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0002.wav,417038,"such crimes would have deserved the animate version of the {magistrate{, but in this promiscuous outrage the innocent were confounded with the guilty and &alexandria& was impoverished by the loss of a wealthy and industrious colony."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0003.wav,357838,"this deal of |carol| exposed him to the penalties of the |julian law|, but in a feeble government and a superstitious age, he was secure of impunity and even of praise."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0004.wav,386318,"|orestes| complained, but his just complaints were too quickly forgotten by the {ministers{ of |theodosia|'s and :two: deeply remembered by a {priest{ who affected to pardon and continued to hate the prefect of &egypt&."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0005.wav,316718,"a rumor was spread among the {christians{ that the {daughter{ |iffy| on was the only obstacle to the reconciliation of the prefect and the {archbishop{, and that obstacle was speedily removed."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0006.wav,273198,"which oppressed the metropolitans of &europe& and &asia& invaded the provinces of &antioch& and &alexandria&, and measured their diasys by the limits of the empire."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0007.wav,165198,exterminate with me the {heretics{ and with you i will exterminate the {persians{.
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0008.wav,136878,"at these blasphemous sounds, the pillars of the &sanctuary& was shaken."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0009.wav,115278,but the &vatican& received with open arms the {messengers{ of &egypt&.
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0010.wav,384078,"the vanity of |kellestine| was flattered by the appeal and the partial version of a {monk{ decided the fate of the {pope{, who, with his {latin clergy{, was ignorant of the language, the arts, and the ^theology^ of the {greeks{."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0011.wav,454318,|nestorius| who depended on the near approach of his eastern {friends{ persisted like his predecessor |christum| to disclaim the jurisdiction and to disobey the summons of his {enemies{. they hastened his trial and his {accuser{ presided in the seat of ^judgement^.
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0012.wav,298638,":68: {bishops{, :22: of metropolitan rank, defended his cause by a modest and temperate protest. they were excluded from the councils of their {brethren{."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0013.wav,213678,"by the vigilance of |memnon|, the &churches& were shot against them, and a strong |garrison| was thrown into the &cathedral&."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0014.wav,300718,"during a busy period of <three months<, the {emperor{ tried every method except the most effectual means of indifference and contempt to reconcile this theological quarrel."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0015.wav,203118,return to your provinces and <may< your private virtues repair the mischief and scandal of your ^!meeting!^.
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0016.wav,489198,"the feeble {son{ of |arcadius| was alternately swayed by his {wife{ and {sister{ by the unix and women of the palace. |superstition| and avarice were their ruling passions, and the orthodox chiefs were assiduous in their endeavors to alarm the former and to gratify the latter."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0017.wav,225838,"but in this awful moment of the danger of the &church&, their vow was superseded by a more sublime and indispensable duty."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0018.wav,136558,"at the same time, every &avenue& of the throne was assaulted with (gold(."
